Ash Blossom & Joyous Spring,Salamangreat Circle,Salamangreat Foxy,Salamangreat Foxy,Salamangreat Spinny
Ash Blossom & Joyous Spring,Ghost Ogre & Snow Rabbit,Infinite Impermanence,Salamangreat Foxy,Salamangreat Rage
Flame Bufferlo,Infinite Impermanence,Salamangreat Circle,Salamangreat Jack Jaguar,Salamangreat Roar
Cynet Mining,Cynet Mining,Parallel eXceed,Salamangreat Circle,Salamangreat Falco
Ash Blossom & Joyous Spring,Cynet Mining,Ghost Ogre & Snow Rabbit,Pot of Desires,Salamangreat Circle
Parallel eXceed,Salamangreat Circle,Salamangreat Foxy,Salamangreat Roar,Will of the Salamangreat
Ghost Belle & Haunted Mansion,Ghost Ogre & Snow Rabbit,Infinite Impermanence,Salamangreat Gazelle,Salamangreat Jack Jaguar
Ghost Belle & Haunted Mansion,Pot of Desires,Salamangreat Gazelle,Salamangreat Rage,Salamangreat Spinny
Cynet Mining,Ghost Ogre & Snow Rabbit,Pot of Desires,Salamangreat Circle,Salamangreat Foxy
Cynet Mining,Parallel eXceed,Salamangreat Circle,Salamangreat Jack Jaguar,Salamangreat Sanctuary
